Age,Gender,Country,JobRole,YearsAtCompany,WorkHoursPerWeek,RemoteWork,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,SalaryRange,WorkLifeBalanceScore,CareerGrowthScore,BurnoutRisk,SurveyDescription
58,Non-binary,Germany,Data Scientist,1,40,Hybrid,9.89,3.28,6.44,5.66,7.8,4.7,99,Yes,1.85,Yes,2,<40K,6.54,4.54,1,"As a non-binary data scientist in Germany, I feel overwhelmed by my high stress levels and burnout, which have significantly affected my work-life balance. Despite having some support from my manager and access to therapy, my job satisfaction is struggling due to a demanding workload and limited career growth opportunities. The hybrid work arrangement provides flexibility, but I often find myself working long hours, leading to inadequate sleep and impacting my overall wellbeing."
26,Female,Brazil,Data Scientist,17,52,Yes,5.89,4.74,4.24,1.55,6.5,6.5,61,No,1.06,Yes,3,100K+,4.26,3.32,0,"As a 26-year-old female data scientist in Brazil, I feel overwhelmed by the high stress levels at work, which are exacerbated by my 52-hour workweek and long remote commute time of over an hour. The lack of support from my manager, combined with the absence of mental health resources available at the office, has taken a toll on my wellbeing and led to significant burnout. Despite enjoying my job and good physical activity habits, the long work hours and little time for rest have left me with only 6.5 hours of sleep each day, impacting my daily life balance."
56,Non-binary,Canada,Data Scientist,7,54,No,9.96,2.48,1.94,8.36,8.7,2.1,70,Yes,4.88,Yes,3,<40K,3.04,3.51,1,"As a data scientist in Canada, I'm constantly overwhelmed by work commitments, leading to excessive stress levels of 1.94 out of 10 and a severe burnout of 9.96 out of 10, making it difficult for me to strike a balance between my job and personal life. My low job satisfaction of 2.48 out of 10 only adds to my overall wellbeing concerns, making me uncertain about my future career prospects and happiness. Despite having access to mental health support and therapy, my grueling 54-hour workweeks and lengthy 70-minute commutes are taking a significant toll on my physical and mental wellbeing."
39,Prefer not to say,Brazil,Data Scientist,5,33,Hybrid,8.1,2.3,5.59,4.44,4.3,9.1,97,Yes,7.28,Yes,4,40K-60K,7.2,4.34,1,"As a data scientist working in Brazil, I feel overwhelmed by the high stress levels associated with my job, which is impacting my overall wellbeing. Despite having some mental health support and access to therapy, I often find myself taking more mental health days due to burnout, and my job satisfaction is unfortunately at an all-time low. I'm trying to maintain some balance despite having a relatively long commute and long work hours, but it's a constant struggle to manage my workload and maintain my physical and mental health."
23,Male,Australia,Data Scientist,15,56,No,9.8,5.93,9.11,1.94,8.1,8.7,119,No,2.87,No,6,60K-80K,6.7,8.3,1,"As a 23-year-old male data scientist in Australia, working a demanding 56-hour week at a job he's held for 15 years, I often feel overwhelming stress levels and a deep-seated dissatisfaction with my role. My long commute and lack of remote work options contribute to the burnout that sets in when I'm not even thinking about work, like during my limited 8.1 hours of sleep per night or 8.7 hours of physical activity each week. Constantly being pulled away from a healthy work-life balance and struggling to find support from my manager makes it feel like I'm stuck in a never-ending cycle of exhaustion."
50,Male,Australia,Data Scientist,13,46,Yes,9.34,9.58,6.76,3.23,6,6.9,1,No,1.14,No,1,80K-100K,6.13,7.91,1,"As a 50-year-old data scientist in Australia, I've been experiencing a significant strain on my mental health due to the high stress levels and excessive burnout risk, which is affecting my overall wellbeing in the workplace. Working remotely with a demanding role has not provided the necessary balance, and although my salary range and job satisfaction are good, the lack of manager support and mental health resources has left me struggling to cope. With a burnout level of 9.34 and only averaging 6 hours of sleep, it's clear that my current work environment is taking a toll on my health and wellbeing."
53,Female,Germany,HR Specialist,13,37,Hybrid,5.22,7.26,8.56,6.8,4.1,3.1,43,Yes,9.3,Yes,5,40K-60K,9.38,1.6,0,"As an HR Specialist in Germany, I'm struggling to maintain a decent work-life balance with my demanding job that requires me to be present in the office for 37 hours a week, coupled with a 43-minute daily commute. Despite having excellent manager support and access to mental health resources, my high stress levels and lack of career growth opportunities are starting to take a toll on my overall wellbeing. I'm constantly exhausted, averaging only 4.1 hours of sleep per night, and my physical activities are limited due to my busy schedule."
51,Female,Germany,HR Specialist,5,47,Yes,4.19,6.31,8.8,9.7,5.6,9.1,85,Yes,2.94,Yes,0,80K-100K,2.4,4.74,0,"As an HR Specialist, I often find myself overwhelmed by work responsibilities, resulting in persistent high stress levels that affect my overall well-being. Despite having access to mental health support and therapy, the demanding 47-hour workweek, along with an 85-minute daily commute, has led to chronic fatigue and a poor work-life balance. With an already stressful job, I sometimes struggle to find time for myself and engage in regular physical activities, further compromising my overall wellbeing."
36,Non-binary,Germany,HR Specialist,8,37,Hybrid,4.93,4.37,6.96,7.44,7.7,9.3,106,Yes,7.33,Yes,0,40K-60K,1.99,4.79,0,"As an HR Specialist in Germany, I find myself constantly overwhelmed by the demands of my 8-year tenure, resulting in severe burnout and unrelenting stress levels that negatively impact my 7.7 hours of daily sleep and overall productivity. Despite having a hybrid remote work setup, my lengthy 37-hours workweek and 106-minute commute time make attaining a perfect work-life balance a pipedream, leading to feelings of dissatisfaction and exhaustion. Fortunately, my supportive manager and access to mental health resources provide a glimmer of hope, but it's a constant struggle to find equilibrium in my high-stress, 6.96-level job."
33,Prefer not to say,Australia,HR Specialist,9,33,Yes,6.85,5.54,8.63,8.43,5.4,2.2,82,No,7.72,Yes,2,100K+,8.28,9.02,0,"As an HR Specialist working from home in Australia, I feel like I'm constantly on edge due to the extremely high stress levels and the impact it has on my overall wellbeing. Despite having access to therapy and a supportive manager, the long work hours and poor sleep schedule take a significant toll, making it difficult to maintain a healthy work-life balance. The physical demands of my role and lack of face-to-face interaction with colleagues exacerbate my burnout, which affects my job satisfaction and overall productivity."
39,Prefer not to say,India,HR Specialist,18,38,Yes,8.97,2.54,3,4.19,6.1,1,40,Yes,4.49,Yes,2,40K-60K,4.5,6.19,1,"As an HR Specialist working remotely in India, I feel overwhelmed by the heavy workload and long working hours, often leaving me with just 6 hours of sleep each night. Despite having access to mental health support and my manager's excellent guidance, I still experience a high burnout level and struggle to maintain a balance between work and life due to the demanding 38-hour workweeks. The limited time for physical activity and a 40-minute commute add to my overall stress, making it challenging for me to find satisfaction in my job and enjoy my personal life."
27,Male,Canada,HR Specialist,9,37,Hybrid,8.72,7.86,7.06,4.76,6.1,6.3,45,Yes,7.61,Yes,2,100K+,6.73,9.98,1,"As an HR Specialist in Canada, I often feel drained and exhausted due to the high burnout level and long work hours, which take a toll on my mental health and overall wellbeing. I appreciate the support from my manager and the company's provision of mental health resources, such as access to therapy, but it's not enough to help me cope with the stress and pressure of my job. Despite the good career growth opportunities, I struggle to maintain a healthy work-life balance, resulting in poor sleep quality and reduced productivity."
59,Male,UK,HR Specialist,4,41,Yes,1.4,6.02,8.57,7.01,8.4,3.5,16,No,9.57,Yes,7,100K+,9.36,3.61,0,"As an HR Specialist, I feel overwhelmed by the high stress levels, which are taking a toll on my wellbeing, but I'm fortunate to have manager support that's truly exceptional. Despite this, I'm dealing with burnout issues and could be at risk of experiencing more, which is affecting my overall quality of life and my productivity score. When I'm not at work, I'm trying to prioritize my wellbeing by getting enough sleep and engaging in physical activity, but the constant pressure to maintain a high job satisfaction amidst the demands of my role is a challenge."
31,Prefer not to say,Brazil,HR Specialist,7,49,Hybrid,7.93,7.43,8.76,4.24,7.1,3.2,88,Yes,6.92,Yes,3,40K-60K,3.49,7.2,1,"As an HR Specialist in Brazil, working 49 hours a week can be emotionally draining, often leading to significant stress levels that impact their overall wellbeing. Their lack of physical activity and sleep, with only 7.1 hours of sleep per day and 3.2 hours of physical activity, further contribute to their burnout and decreased job satisfaction. Despite having access to mental health support and a supportive manager, their high stress levels and burnout symptoms often force them to take time off, affecting their work-life balance and overall wellbeing."
25,Male,Germany,HR Specialist,20,41,Yes,5.98,1.75,5.71,1.23,6.8,8.8,17,Yes,3.06,No,4,100K+,1.1,7.22,0,"As an HR Specialist in Germany, I often feel overwhelmed by the 41-hour workweek and the lack of a healthy work-life balance, resulting in a constant high stress level that affects my productivity. Despite having access to mental health support, I struggle to cope with the burnout that has become a persistent issue, taking a toll on my overall wellbeing. The lengthy 17-minute commute time and limited therapy access exacerbate the problem, leaving me feeling drained and disconnected from my job."
56,Prefer not to say,Germany,HR Specialist,9,40,Yes,9.05,7.76,4.73,2.18,5.9,3.6,85,No,4.36,Yes,3,80K-100K,4.57,9.5,1,"As an HR Specialist in Germany, I often feel overwhelmed by my demanding job, which is reflected in my high burnout level and stress levels. Despite having access to therapy, I sometimes struggle to balance work and personal life, leading to insufficient sleep and minimal physical activity. However, my remote work schedule and supportive manager help mitigate some of the stress, although I worry about the impact of prolonged burnout on my long-term career growth."
42,Non-binary,Canada,HR Specialist,7,39,No,9.77,3,1.12,3.7,4.4,7.7,65,No,5.56,Yes,5,60K-80K,1.2,7.42,1,"As an HR Specialist, I feel like I'm stuck in a never-ending cycle of burnout and exhaustion due to my demanding 39-hour workweeks and lack of work-life balance. My stress levels remain high, despite managing to squeeze in some physical activity, and my limited sleep hours only exacerbate the issue. My job satisfaction is low, and I'm feeling suffocated by my workload, making me wonder if I'm truly making progress in my career."
26,Male,USA,HR Specialist,12,51,Hybrid,9.37,9.32,4.18,2.94,7.7,9.5,64,Yes,9.34,Yes,0,80K-100K,6.47,9.09,1,"As an HR Specialist working 51 hours a week, I often feel overwhelmed by the constant pressure, leading to significantly high burnout levels despite having excellent managerial support and access to therapy. My job satisfaction remains remarkably high, contradicting the high stress levels and long commute time that can take up to an hour each way. On some days, I struggle to maintain a healthy work-life balance, forcing me to compromise on daily sleep hours but still finding time for regular physical activity."
37,Male,Brazil,HR Specialist,13,35,No,3.5,3.39,6.68,9.11,7.1,0.7,96,Yes,6.5,Yes,8,80K-100K,6.54,2.18,0,"As an HR Specialist living in Brazil, I feel overwhelmed by the high stress levels at my workplace, which significantly contribute to my 3.5 out of 10 burnout level. Long work hours and an arduous 96-minute commute have taken a toll on my mental and physical wellbeing, despite having a decent salary range of $80,000 to $100,000. However, I feel fortunate to have access to therapy and mental health support, which helps me cope with the pressure of my job and maintain a meager 7.1 hours of sleep each night."
24,Prefer not to say,Brazil,HR Specialist,20,45,Yes,2.62,8.52,4.36,6.76,7.1,3.7,65,No,1.18,Yes,3,60K-80K,4.33,3.23,0,"As an HR Specialist in Brazil, I feel a moderate level of stress due to my demanding work schedule of 45 hours per week, which includes a long daily commute of 65 minutes. Despite having a relatively high salary range of 60K-80K, my mental health is affected by the lack of support from my manager, resulting in occasional burnout days. The flexibility of remote work and access to therapy help mitigate some of these challenges, but I still struggle to achieve a better work-life balance and career growth opportunities."
43,Non-binary,USA,HR Specialist,7,44,Yes,7.66,4.14,7.61,2.15,7.9,4.3,36,No,2.54,Yes,7,80K-100K,3.79,4.66,1,"As an HR Specialist working in the USA, I often feel overwhelmed by the high stress levels and long work hours, which can be challenging to balance with my 7.9 hours of sleep each day. This burnout is exacerbated by the lack of support from my manager and the absence of mental health support at work, leaving me feeling uncertain about my well-being. Despite having access to therapy, my work-life balance score of 3.79 and productivity score of 2.15 indicate that I may be struggling to find a sustainable balance between my job and personal life."
45,Male,Australia,IT Admin,13,50,No,8.67,7.14,7.51,4.99,5.1,3.1,57,No,5.49,No,1,80K-100K,8.84,7.21,1,"Working over 50 hours a week in the IT Admin role feels overwhelming, causing a high level of burnout and stress that significantly impacts my overall wellbeing. Despite having a relatively good balance between work and life, my limited sleep hours and long commute time add to my daily struggle. The lack of mental health support and therapy access further exacerbates my burnout, making it difficult to maintain a good level of wellbeing."
24,Female,India,IT Admin,3,35,Yes,7.46,5.74,1.48,6.89,5.4,6.4,61,No,3.43,Yes,4,60K-80K,2.27,5.9,1,"As a 24-year-old IT Admin in India, I often feel overwhelmed by my remote work setup, particularly when my work hours exceed 35 hours a week, and I struggle to disconnect from work-life due to the lack of work-life balance. My high stress levels, which I experience frequently, negatively impact my ability to sleep and engage in physical activity, further exacerbating my burnout risk and decreasing my overall job satisfaction. Despite having access to therapy, I often feel unsupported by my manager, which contributes to the rising burnout levels and affects my productivity score."
46,Female,Brazil,IT Admin,5,32,No,4.02,7.65,6.98,8.79,6.3,5.2,20,No,5.3,Yes,0,<40K,8.22,4.27,0,"As a 46-year-old female IT Admin working in Brazil, I feel overwhelmed by the high stress levels and significant burnout risk in my 5-year-old job, which takes up 32 hours of my week and has no remote work option, affecting my overall wellbeing. I often struggle to maintain a balance between work and personal life due to the long daily commute and lack of mental health support, which exacerbates my poor work-life balance score. Despite having access to therapy, I still feel undervalued in my position, with a low career growth score, contributing to my overall sense of burnout."
29,Female,Germany,IT Admin,13,48,Hybrid,6.13,3.49,7.39,3.12,8.5,4.6,30,No,3.53,Yes,9,<40K,7.51,9.94,0,"As a 29-year-old female IT Admin in Germany, I often feel overwhelmed and exhausted due to the high burnout level and stress that comes with working 48 hours a week and lacking sufficient mental health support at my job. Despite having access to therapy, the pressure to meet expectations weighs heavily on me, especially since my job satisfaction is relatively low. With an unbalanced work schedule and long commute times, it's challenging to achieve a better work-life balance and make time for personal activities that bring me joy and fulfillment."
33,Male,Australia,IT Admin,12,50,Hybrid,5.2,7.56,8.41,8.3,7.8,2.6,90,No,1.33,Yes,3,100K+,4.78,2.39,0,"As a 33-year-old IT Admin in Australia, I feel overwhelmed with constant high stress levels, which negatively impact my overall wellbeing and cause burnout, making it challenging for me to maintain a healthy work-life balance. Despite having therapy access and a decent salary, I struggle with feeling unsupported by my manager, leading to increased stress, and I frequently find myself off work due to mental health reasons. My long commute, hybrid work schedule, and lack of mental health support at work leave me feeling drained, making it difficult for me to enjoy my job and find satisfaction in my role."
46,Non-binary,Brazil,IT Admin,12,36,Yes,2.83,9.15,2.98,5.32,7.2,0.6,41,No,7.34,No,5,80K-100K,4.5,3.73,0,"As a non-binary IT admin working remotely in Brazil, I feel a moderate level of stress at work, partly due to my long commute and lack of balance between my professional and personal life. Despite the high salary and good support from my manager, the pressure to perform well in my 36-hour workweek leaves me feeling fatigued, which can be detrimental to my overall wellbeing. Although I'm highly satisfied with my job, the absence of mental health support and access to therapy exacerbates the burnout risk I face daily."
52,Prefer not to say,Brazil,IT Admin,17,36,Hybrid,3.23,2.5,6.41,4.51,5.3,1.1,91,Yes,6.33,No,9,100K+,9.59,7.03,0,"As an IT Admin working for 17 years with a hybrid remote setup, I can feel the immense pressure weighing down on me due to excessively high levels of stress and burnout, which has taken a toll on my work-life balance. The long 36-hour workweek and arduous commute time of 91 minutes further exacerbate my mental health concerns, but fortunately, my company offers mental health support. Despite this, I still struggle to find time for physical activity and decent sleep, which is reflected in my low productivity and overall job satisfaction."
31,Non-binary,India,IT Admin,12,41,Hybrid,5.38,4.32,6.65,7.16,5.9,6.8,58,Yes,5.41,Yes,0,80K-100K,2.03,2,0,"As a non-binary IT admin in India, I feel consistently overwhelmed by the demanding 41-hour workweek and hybrid remote schedule that often blurs the lines between work and personal life. Despite having access to mental health support and therapy, I'm experiencing severe burnout at a level of 5.38, which is severely impacting my ability to manage stress effectively. The lack of work-life balance and career growth opportunities is evident in my low scores of 2.03 and 2.0, making it challenging to maintain a positive job satisfaction level despite a decent salary range of 80K-100K."
29,Non-binary,Brazil,IT Admin,13,53,Yes,9.71,7.31,3.04,4.19,7.7,2.4,91,Yes,3.37,Yes,5,80K-100K,5.85,4.56,1,"As an IT Admin in Brazil, I'm struggling to maintain a healthy work-life balance due to consistently long work hours and excessive stress levels, leaving me feeling burnt out most of the time. Working remotely provides some flexibility, but the high stress and burnout risk, coupled with limited manager support and therapy access, make it difficult for me to prioritize my mental health and overall wellbeing. Despite a relatively high salary, the constant pressure to meet tight deadlines and the lack of work-life balance are taking a significant toll on my physical and mental health."
